imgID,R,G,B,L
75,229.091818518519,210.880277777778,195.231822222222,85.3293596444173
76,237.850766666667,229.7443,217.034077777778,91.4190615652425
77,239.229648148148,230.744422222222,213.857251851852,91.6390833466301
78,234.001433333333,220.606492592593,207.365781481481,88.4118449380785
79,222.767307407407,212.900837037037,206.303085185185,84.8524757101813
80,241.8799,231.539851851852,216.649044444444,92.1743669153158
81,230.92702962963,212.896733333333,187.214492592593,85.9724060115283
82,226.726892592593,215.3494,194.420237037037,86.2485931534547
83,221.303485185185,211.5066,207.337811111111,84.344709409101
84,232.663366666667,225.3264,210.749925925926,89.6616333377703
85,225.909674074074,206.057666666667,193.122377777778,83.7978371793704
86,236.011966666667,220.893862962963,200.992777777778,88.7701819693659
87,223.286288888889,209.11392962963,188.684481481482,84.1208153432383
88,222.0952,211.404422222222,204.146240740741,84.7754260774305
89,229.015514814815,202.398222222222,187.367851851852,83.7855864575852
90,232.692596296296,223.939966666667,211.016548148148,89.1618909159487
91,231.324514814815,211.111925925926,188.376314814815,85.5694551849492
92,242.662940740741,227.70252962963,196.131222222222,91.1110852423741
93,212.625351851852,187.828759259259,178.133451851852,77.7633697552259
94,243.745288888889,239.157314814815,235.405933333333,94.7245000292709
95,225.511714814815,213.138085185185,207.214614814815,85.8624170664175
96,223.744855555556,208.222059259259,190.899051851852,83.8432943006344
97,195.692644444444,183.59317037037,168.92712962963,73.9253958731784
98,229.244140740741,216.796988888889,195.348944444444,86.9528937902851
99,228.399018518518,221.835125925926,211.244525925926,88.3365076580596
100,212.79622962963,209.737725925926,209.198748148148,83.1536095471558
101,234.392659259259,231.396951851852,226.88712962963,91.2708753828275
102,242.661011111111,243.689955555556,240.363340740741,95.7635521161335
103,226.413511111111,205.373074074074,199.760314814815,83.9344408387515
104,244.397725925926,231.58552962963,203.947466666667,92.3547170150118
105,231.943188888889,211.231074074074,190.760774074074,85.6760106244952
106,195.295644444444,163.75657037037,154.613781481481,68.9485275057637
107,211.284196296296,202.555433333333,200.890696296296,80.8774704337773
108,236.901259259259,214.991218518518,189.073674074074,87.249538253658
109,228.630974074074,211.481348148148,167.359840740741,84.9198641138783
110,230.257825925926,215.939066666667,184.569088888889,86.4434005658793
111,238.515111111111,232.673981481482,228.944255555556,92.214853769237
112,231.2283,229.992403703704,229.286059259259,90.8024349036396
113,244.297966666667,235.758511111111,212.079688888889,93.5145491091776
114,240.337251851852,222.546277777778,206.624785185185,89.7540634710586
115,243.710359259259,235.225455555556,230.358507407407,93.5771641865036
116,231.487533333333,223.854811111111,218.143281481481,88.962236510979
117,242.720503703704,225.239085185185,196.600944444444,90.558167685054
118,238.908655555556,227.220633333333,216.094551851852,90.8124259745877
119,240.868811111111,223.05452962963,202.6496,89.8867617980941
120,244.170507407407,226.092925925926,203.564033333333,90.9578649453405
121,241.824925925926,230.59102962963,217.331840740741,91.9505554812974
122,235.540674074074,222.843977777778,193.680155555556,88.9809315835783
123,248.051559259259,246.067514814815,243.564925925926,96.908222901112
124,244.427122222222,241.113814814815,227.643892592593,95.2178051294576
125,233.642818518518,233.168048148148,226.704066666667,92.0658392094478
126,215.7277,192.312051851852,168.230407407407,78.7869761761854
127,201.495474074074,189.87512962963,183.791755555556,75.9651117765201
128,235.053166666667,226.200637037037,221.721766666667,90.3824835448594
129,218.5497,196.266355555556,182.79207037037,80.4319088720294
130,239.940644444444,234.521937037037,224.427055555556,92.8129918618702
131,219.935996296296,194.952314814815,162.363159259259,79.8855839962839
132,233.748444444444,222.715862962963,197.658111111111,88.8169943030043
133,234.072592592593,214.389285185185,203.67647037037,87.1693997708331
134,233.039818518519,219.986803703704,203.065248148148,88.1152089700065
135,215.705422222222,199.328881481481,177.362159259259,80.6091426548831
